postcode,latitude,longitude
AB21 9JP,57.190004,-2.183986333
AB21 9JQ,57.18997006,-2.182478921
AB21 9JR,57.18968951,-2.184744
AB21 9JS,57.19185892,-2.180800528
AB21 9JT,57.19096554,-2.177007
AB21 9JU,57.19209418,-2.179610341
AB21 9JX,57.1938524,-2.181306697
AB21 9JY,57.19136462,-2.180963571
AB21 9LA,57.190951,-2.175038
AB21 9LB,57.17748483,-2.168871172
AB21 9LD,57.17704491,-2.168687227
AB21 9LE,57.17755312,-2.171501324
AB21 9LF,57.17318065,-2.156034632
AB21 9LG,57.17497928,-2.168347029
AB21 9LJ,57.17679912,-2.171084338
AB21 9LL,57.17723881,-2.171433707
AB21 9LN,57.17790107,-2.173239641
AB21 9LP,57.17647219,-2.167047215
AB21 9LQ,57.1770927,-2.166289
AB21 9LR,57.17683432,-2.164931789
AB21 9LS,57.1764492,-2.164053484
AB21 9LT,57.17529817,-2.164974553
AB21 9LU,57.176151,-2.164863
AB21 9LW,57.17498494,-2.164080065
AB21 9LX,57.175291,-2.163056
AB21 9LZ,57.17920705,-2.177198966
AB21 9NA,57.1755707,-2.162643772
AB21 9NB,57.173947,-2.160685
AB21 9ND,57.17367479,-2.155970565
AB21 9NL,57.17362402,-2.153308
AB21 9NN,57.17343843,-2.150925469
AB21 9NP,57.176529,-2.157653
AB21 9NS,57.17568158,-2.153068162
AB21 9NT,57.178448,-2.160026
AB21 9NU,57.17916414,-2.169242736
AB21 9NX,57.178122,-2.162324
AB21 9NY,57.1761219,-2.15995
AB21 9PA,57.17932894,-2.166927798
AB21 9PB,57.17848224,-2.168644164
AB21 9PD,57.17505314,-2.173474379
AB21 9PE,57.17818503,-2.169221714
AB23 8AA,57.18505346,-2.096247971
AB23 8AB,57.24952836,-2.060272722
AB23 8AD,57.25176506,-2.060326108
AB23 8AE,57.19078145,-2.100250435
AB23 8AG,57.19305559,-2.098419919
AB23 8AH,57.19080053,-2.098844096
AB23 8AJ,57.18657847,-2.086821934
AB23 8AP,57.19940599,-2.09909884
AB23 8AR,57.21793017,-2.070536553
AB23 8AT,57.17971735,-2.084093104
AB23 8AU,57.19140437,-2.096297623
AB23 8AW,57.19232979,-2.096068387
AB23 8AX,57.19496195,-2.083317017
AB23 8AZ,57.19619105,-2.085636538
AB23 8BA,57.19037631,-2.089593981
AB23 8BB,57.1925496,-2.090410039
AB23 8BD,57.201021,-2.089372
AB23 8BE,57.21730063,-2.071826843
AB23 8BJ,57.20550303,-2.102061535
AB23 8BL,57.18608375,-2.088078
AB23 8BN,57.20459423,-2.092458896
AB23 8BP,57.20563152,-2.086502631
AB23 8BQ,57.21267911,-2.078969833
AB23 8BR,57.21404236,-2.082317099
AB23 8BS,57.21692538,-2.08292
AB23 8BT,57.21927675,-2.072261
AB23 8BU,57.18647682,-2.090825303
AB23 8BW,57.188786,-2.090268196
AB23 8BX,57.17813228,-2.089944691
AB23 8BY,57.18282892,-2.092074
AB23 8BZ,57.19293104,-2.096864195
AB23 8DA,57.18104636,-2.084790871
AB23 8DB,57.18012778,-2.088146583
AB23 8DD,57.17812473,-2.087926779
AB23 8DF,57.18224794,-2.099863344
AB23 8DJ,57.17817016,-2.087182582
AB23 8DL,57.17729749,-2.088868
AB23 8DN,57.17691149,-2.08868471
AB23 8DP,57.17732609,-2.086717476
AB23 8DQ,57.17715504,-2.087246344
AB23 8DR,57.17646498,-2.084879584
AB23 8DS,57.17676122,-2.085177976
AB23 8DT,57.17638233,-2.087509147
AB23 8DU,57.180461,-2.086361
AB23 8DX,57.17653397,-2.089014591
AB23 8EA,57.1768928,-2.089710117
AB23 8EB,57.17696402,-2.090603428
AB23 8ED,57.17804198,-2.090589533
AB23 8EE,57.18649969,-2.096284829
AB23 8EF,57.18937631,-2.09354584
AB23 8EG,57.187094,-2.093507
AB23 8EH,57.19052566,-2.105445074
AB23 8EJ,57.17822956,-2.092045527
AB23 8EL,57.1778058,-2.094145046
AB23 8EN,57.17787712,-2.094872987
AB23 8EP,57.17914449,-2.093850729
AB23 8EQ,57.17928867,-2.093239092
AB23 8ER,57.17855296,-2.092029793
AB23 8ES,57.17917265,-2.092213284
AB23 8ET,57.17921852,-2.090906691
AB23 8EU,57.189091,-2.101404
AB23 8EW,57.18735341,-2.096601
AB23 8EX,57.18306227,-2.092222999
AB23 8EY,57.188546,-2.098507
AB23 8EZ,57.18602653,-2.092379297
AB23 8FB,57.18311012,-2.088153705
AB23 8FD,57.18302774,-2.090304006
AB23 8FE,57.184927,-2.096942
AB23 8FF,57.19170872,-2.097688296
AB23 8FG,57.18201372,-2.088829302
AB23 8FP,57.17798905,-2.08924966
AB23 8FT,57.19704018,-2.103179982
AB23 8FW,57.19621416,-2.102681227
AB23 8FX,57.1973465,-2.102088624
AB23 8FY,57.1787349,-2.088871034
AB23 8GA,57.18977325,-2.102845311
AB23 8GD,57.19096443,-2.08296
AB23 8GE,57.19753359,-2.103975703
AB23 8GH,57.19272527,-2.106874367
AB23 8GL,57.19881854,-2.103499392
AB23 8GN,57.19914932,-2.105403512
AB23 8GP,57.199924,-2.102724949
AB23 8GQ,57.20004792,-2.105041981
AB23 8GS,57.1950914,-2.102545722
AB23 8GT,57.19812038,-2.100419312
AB23 8GW,57.19156025,-2.078941163
AB23 8GX,57.187569,-2.083201
AB23 8HA,57.17961283,-2.092197842
AB23 8HD,57.18082399,-2.09426853
AB23 8HE,57.19011714,-2.099702631
AB23 8HG,57.187025,-2.102192
AB23 8HJ,57.18049127,-2.094730833
AB23 8HL,57.18044583,-2.095425445
AB23 8HN,57.24553459,-2.052246163
AB23 8HP,57.18102754,-2.098238987
AB23 8HQ,57.18030148,-2.096235585
AB23 8HR,57.18028186,-2.098369331
AB23 8HS,57.1799761,-2.098798581
AB23 8HT,57.17910602,-2.09717528
AB23 8HU,57.24536342,-2.053538
AB23 8HW,57.24484207,-2.054217004
AB23 8HX,57.17830682,-2.096809293
AB23 8HY,57.24469758,-2.056089
AB23 8HZ,57.18994948,-2.084696
AB23 8JA,57.17878397,-2.095437691
AB23 8JB,57.17942946,-2.097109969
AB23 8JD,57.17951073,-2.096564338
AB23 8JJ,57.17980748,-2.096151593
AB23 8JL,57.17863169,-2.094874926
AB23 8JN,57.17716909,-2.09270447
AB23 8JP,57.17745643,-2.09285405
AB23 8JQ,57.17722048,-2.096029079
AB23 8JR,57.17785776,-2.096692336
AB23 8JS,57.19745879,-2.096098
AB23 8JW,57.19668875,-2.093117571
AB23 8JX,57.19597631,-2.096789447
AB23 8JZ,57.18926771,-2.094620996
AB23 8LA,57.19948565,-2.100588523
AB23 8LB,57.20066251,-2.10047588
AB23 8LD,57.20024872,-2.101186403
AB23 8LE,57.24928594,-2.060023745
AB23 8LH,57.19458301,-2.098010305
AB23 8LU,57.19407285,-2.095593055
AB23 8LZ,57.17654976,-2.0920248
AB23 8NA,57.19863831,-2.114487606
AB23 8NB,57.19558709,-2.100544802
AB23 8ND,57.19504884,-2.099633214
AB23 8NE,57.19471926,-2.09605806
AB23 8NF,57.19531192,-2.096340915
AB23 8NG,57.1955077,-2.098707772
AB23 8NH,57.19499649,-2.097663903
AB23 8NJ,57.19442049,-2.099052359
AB23 8NL,57.19218444,-2.0981694
AB23 8NN,57.207088,-2.108257
AB23 8NP,57.21056,-2.113283
