IS_ENCLOSED,AGE_INDEX,EXTENSION_COUNT,FROM_MAIN_SYSTEM,HAS_TANK,FLAT_TOP_STOREY,FLOOR_U_VALUE,HOT_WATER_ENERGY_EFF,INTERNAL_GAINS,IS_DETACHED,IS_END,IS_MID,LOW_ENERGY_LIGHTING,MAIN_FUEL,MAINS_GAS_FLAG,MAIN_HEATING_CONTROLS,MAINHEAT_ENERGY_EFF,MECHANICAL_EXTRACT,PHOTO_SUPPLY,ROOF_ENERGY_EFF,ROOF_U_VALUE,SECONDHEAT_DESCRIPTION,TEMP_ADJUSTMENT,TOTAL_FLOOR_AREA,WALLS_ENERGY_EFF,WALL_THICKNESS,WALL_U_VALUE,WET_ROOMS,WAR,CURRENT_ENERGY_EFFICIENCY
0,2,0.0,1,1,0,2.3,3,36.143601854398355,0,0,1,100,0.216,1,0,3,0,0,2,2.3,-1,0,72,3,250,0.7,2,0.782513888888889,69
0,1,0.027777777777777776,1,1,0,2.3,3,36.19868718232154,0,0,1,29,0.216,1,4,3,0,0,3,2.3,-1,0,72,3,220,0.32,2,0.782513888888889,65
0,3,0.0,1,1,0,2.3,3,34.52089673421733,0,1,0,100,0.216,1,0,3,0,0,3,2.3,-1,0,86,3,250,0.7,3,0.8064720930232558,71
0,2,0.013157894736842105,1,1,0,2.3,2,35.76803945707394,0,0,1,22,0.216,1,0,3,0,0,3,2.3,-1,0,76,0,220,1.7,2,0.7875394736842105,54
0,6,0.0078125,1,1,0,0.4,3,29.216584405642834,1,0,0,0,0.216,1,0,3,0,0,2,0.4,-1,0,128,3,270,0.6,4,0.823446875,61
0,3,0.0,0,1,0,0.22,0,37.54749590295131,0,1,0,50,0.519,0,7,2,0,0,-1,0,-1,0.7,58,0,250,2,2,0.8182793103448276,67
0,7,0.01282051282051282,1,1,0,0.35,3,35.557982830025516,0,1,0,0,0.216,1,4,3,0,0,4,0.35,-1,0,78,2,270,0.6,2,0.8214307692307692,68
0,3,0.0,1,1,0,2.3,2,35.33116067226989,0,0,1,67,0.216,1,4,3,0,0,3,2.3,0.216,0,79.52,1,250,1.5,3,0.8012463782696178,58
0,1,0.008264462809917356,1,1,0,2.3,3,20.93126448556738,0,1,0,12,0.216,1,0,3,0,0,0,2.3,0.216,0,242,1,220,1.7,5,0.8495909090909091,54
0,2,0.022222222222222223,1,1,0,2.3,3,34.08657125492707,0,1,0,0,0.216,1,0,3,0,0,0,2.3,0.216,0,90,3,250,0.7,3,0.801611111111111,52
0,7,0.0,1,1,0,0.35,3,35.67223764266052,1,0,0,0,0.216,1,4,3,0,0,4,0.35,0.216,0,77,2,270,0.6,2,0.8203428571428572,62
0,5,0.0,1,1,0,0.68,3,36.09700373400877,0,0,1,22,0.216,1,4,3,0,0,3,0.68,-1,0,73,3,260,0.4,3,0.7991835616438356,71
0,2,0.0,1,1,0,2.3,2,34.93231825411336,0,1,0,44,0.216,1,4,3,0,0,3,2.3,0.216,0,83,3,250,0.7,3,0.774460843373494,62
0,5,0.0,1,1,1,0.22,3,38.57518738756123,0,1,0,100,0.216,1,0,3,0,0,3,0.68,-1,0,47.76,3,260,0.4,1,0.8387474036850922,73
0,4,0.0,1,1,0,1.5,3,35.609982991744346,0,0,1,82,0.216,1,0,3,0,0,3,1.5,-1,0,77,0,250,1.7,3,0.7808792207792208,62
0,2,0.0,1,1,0,2.3,3,35.442261514984416,0,1,0,0,0.216,1,4,3,0,0,4,2.3,-1,0,79,1,250,1.5,3,0.7909746835443038,62
0,3,0.0,1,1,0,2.3,2,30.301897193344907,0,1,0,0,0.216,1,3,3,0,0,0,2.3,0.216,0.6,119,3,250,0.7,3,0.824255462184874,49
