AGE_INDEX,ENERGY_TARIFF,EXTENSION_COUNT,FROM_MAIN_SYSTEM,HW_GAS,HAS_TANK,FLAT_TOP_STOREY,FLOOR_U_VALUE,HOT_WATER_ENERGY_EFF,INTERNAL_LIGHTING,INTERNAL_GAINS,IS_DETACHED,IS_END,IS_MID,LOW_ENERGY_LIGHTING,MAIN_FUEL,MAINS_GAS_FLAG,MAIN_HEATING_CONTROLS,MAINHEAT_ENERGY_EFF,MECHANICAL_EXTRACT,MECHANICAL_SUPPLY,NUMBER_HEATED_ROOMS,NUMBER_OPEN_FIREPLACES,PHOTO_SUPPLY,ROOF_ENERGY_EFF,ROOF_U_VALUE,SECONDHEAT_DESCRIPTION,TEMP_ADJUSTMENT,TOTAL_FLOOR_AREA,WALLS_ENERGY_EFF,WALL_THICKNESS,WALL_U_VALUE,WET_ROOMS,WINDOW_AREA,CURRENT_ENERGY_EFFICIENCY
9,1,0.0,0,0,1,1,0.22,2,1.3341804481446136,38.38609416382662,0,0,1,33,0.519,0,5,2,0,0,2,0,0,-1,0,-1,0.7,49.81,3,300,0.35,1,6.110188000000001,85
0,0,0.02274536563175253,1,0,1,0,2.3,3,0.8117004486037253,34.336737660297466,0,0,1,20,0.216,1,3,3,0,0,6,0,0,1,2.3,-1,0.6,87.93,0,220,1.7,3,17.60246,57
1,0,0.026954177897574122,0,0,0,0,2.3,0,0.9413008421491297,35.96707915606909,0,0,1,22,0.216,1,6,2,0,0,3,0,0,2,2.3,-1,0.3,74.2,0,220,1.7,2,15.9274,43
0,0,0.02390057361376673,1,0,1,0,2.3,3,0.8405827574908642,34.860067506191015,0,0,1,30,0.216,1,2,3,0,0,4,4,0,1,2.3,0.216,0,83.68,0,220,1.7,2,17.08396,55
4,0,0.008313934153641503,1,0,1,0,1.5,3,0.6199161454825809,30.135948552923935,0,1,0,11,0.216,1,1,3,0,0,8,0,0,2,1.5,0.216,0,120.28,2,250,0.7,4,22.234692,69
0,0,0.026616981634282673,1,0,1,0,2.3,3,0.9478811540508774,35.88075204601369,0,0,1,0,0.216,1,0,3,0,0,4,1,0,3,2.3,-1,0,75.14,0,220,1.7,2,16.04208,60
10,0,0.0,1,0,1,0,0.2,3,0.6305236773339654,31.86308450915943,0,1,0,100,0.216,1,0,3,1,0,7,0,0,3,0.2,-1,0,106.34,3,300,0.3,4,14.856789999999998,76
2,0,0.01812907904278463,1,0,1,0,2.3,3,1.1743522661197154,37.78914583371455,0,1,0,86,0.216,1,2,3,0,0,3,0,0,0,2.3,-1,0,55.16,0,220,1.7,2,13.604519999999999,39
0,0,0.01275591555583902,1,0,1,0,2.3,1,0.47869571721496207,26.251386963407686,0,0,1,30,0.216,1,1,3,0,0,7,0,0,2,2.3,0.216,0,156.79,0,220,1.7,4,27.72213,50
7,0,0.0,1,0,1,0,0.35,2,0.6560948943025565,32.44885672216672,0,1,0,100,0.216,1,1,3,0,0,4,0,0,2,0.35,-1,0,101.91,3,270,0.6,2,16.195068,65
7,0,0.0,1,0,1,0,0.35,3,1.2554705474213481,38.14285524820775,0,1,0,75,0.216,1,0,3,0,0,2,0,0,-1,0,-1,0,51.73,3,270,0.6,1,7.949648999999999,70
7,0,0.0,1,0,1,0,0.35,3,1.432583991770142,38.95375817494477,0,1,0,67,0.216,1,0,3,0,0,2,0,0,-1,0,-1,0,45.14,3,270,0.6,1,7.413882,74
0,0,0.021361359436914567,1,0,1,0,2.3,3,0.7544792858256051,33.58725436277621,0,0,1,38,0.216,1,3,3,0,0,5,0,0,0,2.3,0.216,0.6,93.627,0,220,1.7,3,18.297494,51
3,0,0.0,1,0,1,0,2.3,3,0.9218641277375729,35.82655032059119,0,1,0,30,0.216,1,1,3,0,0,5,0,0,3,2.3,-1,0,75.422,3,250,0.7,3,15.274606799999997,63
2,0,0.010107339950271887,1,0,1,0,2.3,3,0.6873409880461552,32.85569409411709,0,1,0,82,0.216,1,3,3,0,0,6,0,0,4,2.3,0.216,0.6,98.938,0,220,1.7,3,18.945436,58
3,0,0.0,1,0,1,0,2.3,3,1.0855900097322546,37.19555195762014,0,1,0,50,0.216,1,1,3,0,0,5,0,0,3,2.3,-1,0,61.76,1,250,1.5,3,13.506743999999998,58
3,0,0.012874983906270118,1,0,1,0,2.3,3,0.8677505083237441,35.54268959632178,0,1,0,70,0.216,1,0,3,0,0,6,0,0,4,2.3,-1,0,77.67,3,250,0.7,3,15.565497999999998,67
